edad,raza,sexo,estado_reproductivo,peso,tamano_corporal,motivo_consulta,antecedentes_medicos_previos,masa_tumoral_previa,tiempo_evolucion_lesion,tratamientos_previos,numero_lesiones,ubicacion_anatomica_tumor,tamano_lesion,forma_tumor,consistencia,movilidad,bordes,velocidad_crecimiento,ulceracion,invasion_tejidos_cercanos,tipo_estudio_diagnostico,citologia_realizada,biopsia_realizada,histopatologia_realizada,diagnostico_citologico,diagnostico_histopatologico,tipo_tumor,grado_tumoral,indice_mitotico,pleomorfismo_celular,necrosis_tumoral,metastasis,compromiso_ganglionar,recurrencia_tumoral,progresion_enfermedad,pronostico_clinico,tipo_tratamiento,respuesta_tratamiento,seguimiento_clinico,cancer_confirmado
10.6,Labrador,F,entero,12.4,grande,masa palpable,endocrinopatia,True,6.0,ninguno,1,mama,2.32,nodular,dura,movil,infiltrativos,rapido,False,False,imagen,True,False,True,sospechoso,no realizado,carcinoma,alto,2.8,severo,True,False,False,False,progresiva,favorable,cirugia+quimio,sin tratamiento,12 meses,1
3.9,Labrador,M,entero,35.5,pequeno,cojera,ninguno,False,6.5,antibioticos,1,cavidad oral,3.39,lobulada,dura,fija,infiltrativos,lento,False,True,citologia,True,True,False,sospechoso,inflamatorio,adenoma,intermedio,14.8,severo,False,True,False,False,regresiva,reservado,cirugia,mala,12 meses,0
9.1,Beagle,F,esterilizado,18.2,pequeno,sangrado local,obesidad,True,0.9,ninguno,1,bazo,1.69,difusa,dura,movil,irregulares,moderado,False,False,biopsia,False,False,True,benigno,inflamatorio,sarcoma,alto,2.0,no aplica,True,True,False,False,regresiva,favorable,paliativo,sin tratamiento,6 meses,0
15.3,Mestizo,M,esterilizado,23.5,pequeno,perdida de apetito,cirugia previa,True,3.5,ninguno,1,bazo,4.53,nodular,dura,movil,definidos,rapido,False,False,biopsia,True,False,False,sospechoso,,lipoma,,,no aplica,True,False,False,False,estable,desfavorable,cirugia,sin tratamiento,1 mes,0
8.7,Pastor Alemán,F,entero,25.6,grande,sangrado local,endocrinopatia,False,11.0,cirugia previa,1,piel,1.14,difusa,firme,semi-fija,irregulares,moderado,False,True,examen clinico,True,False,False,benigno,maligno,mastocitoma,intermedio,9.7,moderado,False,False,False,False,progresiva,desfavorable,observacion,sin tratamiento,1 mes,0
4.2,French Bulldog,M,entero,18.9,mediano,perdida de apetito,obesidad,True,9.8,cirugia previa,1,mama,2.88,nodular,dura,fija,infiltrativos,lento,False,True,imagen,True,False,True,benigno,maligno,adenoma,bajo,12.2,moderado,False,False,False,False,estable,desfavorable,observacion,mala,6 meses,0
11.1,Pastor Alemán,F,esterilizado,42.0,pequeno,masa palpable,obesidad,False,8.0,ninguno,1,extremidad,2.15,lobulada,blanda,semi-fija,definidos,lento,False,True,biopsia,True,False,False,benigno,inflamatorio,sarcoma,bajo,16.9,moderado,True,False,False,True,progresiva,desfavorable,cirugia,parcial,3 meses,1
1.8,Beagle,F,esterilizado,4.9,mediano,cojera,cirugia previa,True,6.3,cirugia previa,2,piel,1.27,irregular,dura,movil,irregulares,rapido,False,False,examen clinico,True,False,False,benigno,inflamatorio,mastocitoma,intermedio,12.0,severo,False,False,False,False,estable,favorable,cirugia,buena,12 meses,1
14.0,Boxer,M,esterilizado,9.7,grande,masa palpable,obesidad,False,12.0,antiinflamatorios,1,tejido subcutaneo,3.34,irregular,blanda,movil,infiltrativos,lento,False,False,examen clinico,False,True,False,no concluyente,inflamatorio,adenoma,bajo,15.8,severo,True,False,False,True,progresiva,reservado,quimioterapia,,1 mes,1
14.9,Mestizo,M,esterilizado,21.1,grande,perdida de apetito,endocrinopatia,True,11.9,antibioticos,2,cavidad oral,6.1,lobulada,firme,fija,irregulares,rapido,True,False,imagen,True,False,False,maligno,no realizado,linfoma,bajo,5.5,moderado,False,False,False,False,progresiva,desfavorable,cirugia,mala,3 meses,1
15.3,Golden Retriever,F,entero,36.9,pequeno,masa palpable,ninguno,True,6.8,ninguno,2,tejido subcutaneo,8.01,irregular,dura,fija,irregulares,moderado,False,True,examen clinico,False,False,False,no concluyente,maligno,mastocitoma,no aplica,0.9,moderado,False,True,True,False,regresiva,desfavorable,paliativo,parcial,12 meses,1
